Date,FNGS,AAPL,META,GOOGL,AMZN,NFLX,NVDA,AVGO,PLTR,CRWD,MSFT,NOW,TSLA
2020-09-30,23.78274917602539,112.54134368896484,260.0832214355469,72.73046112060547,157.43649291992188,50.00299835205078,13.488572120666504,32.497596740722656,9.5,137.32000732421875,201.2930145263672,97.0,143.00332641601562
2020-10-01,24.19849967956543,113.49369812011719,264.78045654296875,73.83710479736328,161.06300354003906,52.750999450683594,13.572309494018555,32.879364013671875,9.460000038146973,142.8699951171875,203.33148193359375,98.50399780273438,149.3866729736328
2020-10-02,23.5,109.83009338378906,258.1368103027344,72.23421478271484,156.25,50.305999755859375,13.021773338317871,31.82948875427246,9.199999809265137,139.8699951171875,197.3308868408203,98.62999725341797,138.3633270263672
2020-10-05,24.0049991607666,113.21185302734375,262.8141784667969,73.58551025390625,159.9600067138672,52.064998626708984,13.600223541259766,32.656368255615234,9.029999732971191,144.8800048828125,201.34085083007812,100.35800170898438,141.89332580566406
2020-10-06,23.59025001525879,109.96614837646484,256.86572265625,72.00692749023438,154.9980010986328,50.58700180053711,13.693933486938477,32.46726608276367,9.899999618530273,145.1300048828125,197.0629425048828,98.30799865722656,137.9933319091797
2020-10-07,24.021249771118164,111.83196258544922,256.3294677734375,72.4098892211914,159.7845001220703,53.465999603271484,13.920729637145996,32.71346664428711,10.0,144.57000732421875,200.81446838378906,100.0,141.76666259765625
2020-10-08,24.094999313354492,111.72503662109375,261.9303283691406,73.61529541015625,159.52749633789062,53.17900085449219,13.795866966247559,33.3012809753418,10.0,142.97000122070312,201.5322723388672,99.30000305175781,141.97332763671875
2020-10-09,24.292499542236328,113.66861724853516,262.61553955078125,74.95614624023438,164.33250427246094,53.944000244140625,13.720101356506348,33.601898193359375,9.949999809265137,143.57000732421875,206.53753662109375,101.72200012207031,144.6666717529297
2020-10-12,25.13425064086914,120.88890075683594,273.837158203125,77.64285278320312,172.14649963378906,53.98099899291992,14.181915283203125,34.11301803588867,9.890000343322754,145.9600067138672,211.8874053955078,101.81800079345703,147.43333435058594
2020-10-13,25.112749099731445,117.6820297241211,274.2244873046875,77.76591491699219,172.18150329589844,55.409000396728516,14.204096794128418,34.02916717529297,9.470000267028809,152.8000030517578,213.28465270996094,103.66000366210938,148.88333129882812
2020-10-14,25.034500122070312,117.76951599121094,269.9344482421875,77.58578491210938,168.1855010986328,54.14500045776367,14.051570892333984,33.92302322387695,9.34000015258789,147.7899932861328,211.37057495117188,103.37799835205078,153.76666259765625
2020-10-15,24.725000381469727,117.30305480957031,264.8698425292969,77.19026947021484,166.9324951171875,54.194000244140625,13.92671012878418,33.8900260925293,9.90999984741211,145.36000061035156,210.22215270996094,104.13600158691406,149.6266632080078
2020-10-16,24.594999313354492,115.6607666015625,264.08526611328125,77.79718780517578,163.635498046875,53.07899856567383,13.76870059967041,33.775848388671875,9.710000038146973,145.33999633789062,210.22215270996094,104.9739990234375,146.55667114257812
2020-10-19,24.210750579833984,112.70654296875,259.586669921875,75.92384338378906,160.36050415039062,53.071998596191406,13.45592212677002,33.51893997192383,9.569999694824219,144.66000366210938,205.015869140625,104.38999938964844,143.61000061035156
2020-10-20,24.403749465942383,114.19336700439453,265.7039794921875,76.97241973876953,160.85049438476562,52.54199981689453,13.603216171264648,33.62776184082031,9.270000457763672,142.63999938964844,205.4274139404297,103.63800048828125,140.64666748046875
2020-10-21,24.59749984741211,113.57140350341797,276.7965087890625,78.70482635498047,159.2469940185547,48.904998779296875,13.482839584350586,33.18711853027344,9.199999809265137,135.13999938964844,205.5709686279297,102.05599975585938,140.8800048828125
2020-10-22,24.503999710083008,112.48304748535156,276.1907043457031,79.73058319091797,158.82000732421875,48.52299880981445,13.319596290588379,33.30486297607422,9.680000305175781,134.5399932861328,205.65708923339844,101.19200134277344,141.92999267578125
2020-10-23,24.694250106811523,111.79308319091797,282.8144836425781,81.03670501708984,160.22000122070312,48.827999114990234,13.548136711120605,33.24687957763672,9.489999771118164,135.4199981689453,206.9395294189453,102.802001953125,140.2100067138672
2020-10-26,24.260000228881836,111.80279541015625,275.1877136230469,78.62046813964844,160.3520050048828,48.82400131225586,13.1005277633667,32.38343048095703,9.949999809265137,133.0800018310547,201.0537872314453,100.3219985961914,140.0933380126953
2020-10-27,24.88574981689453,113.30904388427734,281.3248596191406,79.34449768066406,164.31649780273438,48.893001556396484,13.355237007141113,32.07657241821289,10.949999809265137,133.47999572753906,204.08755493164062,99.96199798583984,141.55999755859375
2020-10-28,23.85099983215332,108.06146240234375,265.8132019042969,74.9735107421875,158.13900756835938,48.624000549316406,12.587871551513672,30.97136878967285,10.850000381469727,131.57000732421875,193.9716796875,96.80999755859375,135.33999633789062
2020-10-29,24.517499923706055,112.06517791748047,278.8819274902344,77.26024627685547,160.55050659179688,50.42100143432617,12.983642578125,31.667129516601562,10.75,127.36000061035156,195.92404174804688,102.11799621582031,136.94332885742188
2020-10-30,23.211999893188477,105.78751373291016,261.2847900390625,80.19952392578125,151.8074951171875,47.57400131225586,12.495159149169922,31.187238693237305,10.130000114440918,123.83999633789062,193.7707061767578,99.51399993896484,129.34666442871094
2020-11-02,23.27025032043457,105.70004272460938,259.5469665527344,80.60696411132812,150.2239990234375,48.4119987487793,12.541764259338379,31.331745147705078,10.539999961853027,124.47000122070312,193.63673400878906,95.19999694824219,133.50332641601562
2020-11-03,23.59174919128418,107.32292938232422,263.45965576171875,81.66595458984375,152.42050170898438,48.72200012207031,12.979153633117676,31.55562973022461,10.5,126.86000061035156,197.56057739257812,96.01000213623047,141.3000030517578
2020-11-04,24.563499450683594,111.70560455322266,285.3864440917969,86.63789367675781,162.05799865722656,49.69499969482422,13.751503944396973,32.5252571105957,10.720000267028809,136.32000732421875,207.09262084960938,102.71600341796875,140.32666015625
2020-11-05,25.112499237060547,115.67046356201172,292.6358337402344,87.46414947509766,166.10000610351562,51.375999450683594,14.116121292114258,33.9738655090332,11.880000114440918,138.9199981689453,213.6961669921875,106.21600341796875,146.02999877929688
2020-11-06,25.174999237060547,115.53905487060547,291.3746643066406,87.3266830444336,165.56849670410156,51.472999572753906,14.516877174377441,33.951568603515625,13.829999923706055,141.7899932861328,214.1077117919922,107.03600311279297,143.31666564941406
2020-11-09,24.456249237060547,113.23196411132812,276.836181640625,87.4105453491211,157.18699645996094,47.04999923706055,13.588509559631348,33.49842071533203,14.670000076293945,126.55000305175781,209.0066680908203,100.39199829101562,140.4199981689453
2020-11-10,23.7549991607666,112.89126586914062,270.5401916503906,86.23444366455078,151.75100708007812,48.02399826049805,12.730426788330078,32.39144515991211,14.0,123.5,201.94374084472656,96.25599670410156,136.7866668701172
2020-11-11,24.223249435424805,116.31781768798828,274.5621337890625,86.70637512207031,156.8695068359375,49.07600021362305,13.376419067382812,33.53232955932617,15.960000038146973,130.9600067138672,207.24578857421875,100.6719970703125,139.0433349609375
2020-11-12,24.07175064086914,116.04524993896484,273.17181396484375,86.48751831054688,155.51400756835938,48.676998138427734,13.415050506591797,33.022098541259766,14.579999923706055,137.3000030517578,206.1834259033203,101.95600128173828,137.25332641601562
2020-11-13,24.126249313354492,116.09391784667969,275.0288391113281,87.94849395751953,156.4405059814453,48.284000396728516,13.2557954788208,33.31645965576172,15.800000190734863,132.17999267578125,207.20745849609375,101.60199737548828,136.1666717529297
2020-11-16,24.165250778198242,117.10633087158203,277.0248718261719,88.03632354736328,156.55299377441406,47.90999984741211,13.473368644714355,33.968509674072266,15.930000305175781,131.5800018310547,207.8965301513672,100.45600128173828,136.02999877929688
2020-11-17,24.230749130249023,116.22046661376953,273.0923767089844,87.4224624633789,156.7830047607422,48.0629997253418,13.380658149719238,33.94979476928711,17.850000381469727,137.77999877929688,205.2455291748047,102.62000274658203,147.20333862304688
2020-11-18,24.365999221801758,114.89656829833984,270.0833740234375,86.37934112548828,155.2729949951172,48.17900085449219,13.38713550567627,33.951568603515625,17.899999618530273,137.67999267578125,202.53964233398438,101.42400360107422,162.2133331298828
2020-11-19,24.405500411987305,115.49038696289062,271.0466613769531,87.26911163330078,155.8509979248047,48.46699905395508,13.398599624633789,34.28250503540039,18.979999542236328,143.75999450683594,203.82542419433594,102.86599731445312,166.42333984375
2020-11-20,24.35849952697754,114.2248764038086,267.8291015625,86.16793060302734,154.97000122070312,48.82400131225586,13.047195434570312,34.193302154541016,18.149999618530273,145.72000122070312,201.87754821777344,103.61199951171875,163.20333862304688
2020-11-23,24.315000534057617,110.82755279541016,266.5679016113281,85.7302474975586,154.91949462890625,47.6619987487793,13.09928035736084,34.520668029785156,21.040000915527344,147.5399932861328,201.60891723632812,104.4219970703125,173.9499969482422
2020-11-24,24.769250869750977,112.11250305175781,274.9990234375,87.53362274169922,155.9029998779297,48.28799819946289,12.91759967803955,34.987186431884766,23.81999969482422,149.4499969482422,205.2071533203125,102.93800354003906,185.1266632080078
2020-11-25,25.071250915527344,112.94966125488281,273.67828369140625,87.54502868652344,159.2534942626953,48.5,13.193737983703613,34.8623046875,29.049999237060547,149.9600067138672,205.21678161621094,103.84400177001953,191.3333282470703
2020-11-27,25.289249420166016,113.49479675292969,275.8828430175781,88.68094635009766,159.76699829101562,49.13600158691406,13.2201566696167,35.229820251464844,27.65999984741211,150.8300018310547,206.521728515625,105.49600219726562,195.25332641601562
2020-11-30,25.052000045776367,115.88951110839844,275.0487365722656,87.06217956542969,158.40199279785156,49.06999969482422,13.359970092773438,35.821224212646484,27.110000610351562,153.27999877929688,205.40869140625,106.91000366210938,189.1999969482422
2020-12-01,25.542999267578125,119.4620590209961,284.5622253417969,89.0948257446289,161.00399780273438,50.45800018310547,13.348506927490234,36.08792495727539,25.670000076293945,147.5,207.46212768554688,107.91799926757812,194.9199981689453
2020-12-02,25.591999053955078,119.8125,285.5255126953125,90.56422424316406,160.17649841308594,50.3380012512207,13.502528190612793,36.01299285888672,22.510000228881836,141.83999633789062,206.65609741210938,105.30400085449219,189.60667419433594
2020-12-03,25.65999984741211,119.67623138427734,279.89483642578125,90.40889739990234,159.3365020751953,49.75199890136719,13.35843276977539,35.66243362426758,24.030000686645508,161.19000244140625,205.57179260253906,105.0479965209961,197.7933349609375
2020-12-04,25.717500686645508,119.0045394897461,277.759765625,90.5041732788086,158.12899780273438,49.83100128173828,13.520228385925293,36.72214126586914,23.850000381469727,167.25999450683594,205.68692016601562,105.13999938964844,199.67999267578125
2020-12-07,26.039749145507812,120.4647216796875,283.59893798828125,90.17020416259766,157.89999389648438,51.577999114990234,13.56859302520752,37.54368209838867,28.940000534057617,170.72000122070312,205.61978149414062,106.6500015258789,213.9199981689453
2020-12-08,26.04425048828125,121.07798767089844,281.4340515136719,89.88733673095703,158.864501953125,51.26599884033203,13.31256103515625,37.76846694946289,28.59000015258789,177.47999572753906,207.2701873779297,108.44999694824219,216.6266632080078
2020-12-09,25.54924964904785,118.54703521728516,275.9920959472656,88.22639465332031,155.2100067138672,49.36000061035156,12.894487380981445,37.12710952758789,26.6299991607666,166.1699981689453,203.23056030273438,105.5979995727539,201.4933319091797
2020-12-10,26.043750762939453,119.96825408935547,275.1976623535156,87.71971130371094,155.07449340820312,50.10900115966797,12.935872077941895,36.575843811035156,27.040000915527344,179.99000549316406,202.00233459472656,107.5999984741211,209.02333068847656
2020-12-11,25.99625015258789,119.1603012084961,271.6524353027344,88.07453155517578,155.8209991455078,50.321998596191406,12.97675895690918,36.19941711425781,27.200000762939453,175.9199981689453,204.6314239501953,107.47200012207031,203.3300018310547
2020-12-14,26.315500259399414,118.54703521728516,272.2879638671875,86.95598602294922,157.84849548339844,52.242000579833984,13.271429061889648,36.732845306396484,27.239999771118164,173.8000030517578,205.53341674804688,106.49600219726562,213.27667236328125
2020-12-15,26.862499237060547,124.48506927490234,273.6385192871094,87.3936767578125,158.25599670410156,51.97800064086914,13.323033332824707,37.29124450683594,26.43000030517578,174.92999267578125,205.46624755859375,105.47599792480469,211.0833282470703
2020-12-16,27.068500518798828,124.41694641113281,273.7577209472656,87.20063018798828,162.04800415039062,52.483001708984375,13.205363273620605,37.90138244628906,25.920000076293945,179.7899932861328,210.40789794921875,109.0,207.58999633789062
2020-12-17,27.323749542236328,125.2833251953125,272.5759582519531,86.37288665771484,161.8040008544922,53.290000915527344,13.303838729858398,38.0084114074707,27.229999542236328,185.25,210.542236328125,110.81400299072266,218.63333129882812
2020-12-18,27.311500549316406,123.29747772216797,274.482666015625,85.66374969482422,160.08250427246094,53.44499969482422,13.234781265258789,39.09334945678711,25.969999313354492,203.75,209.7458038330078,113.08599853515625,231.6666717529297
2020-12-21,27.249500274658203,124.82577514648438,270.89776611328125,86.07762145996094,160.3090057373047,52.89099884033203,13.294862747192383,38.58236312866211,28.510000228881836,210.64999389648438,213.58392333984375,110.16400146484375,216.6199951171875
2020-12-22,27.149499893188477,128.37889099121094,265.2372131347656,85.36599731445312,160.3260040283203,52.733001708984375,13.241012573242188,38.96200180053711,28.040000915527344,224.89999389648438,214.87936401367188,112.34400177001953,213.44667053222656
2020-12-23,27.0625,127.4832992553711,266.2501220703125,85.76348876953125,159.2635040283203,51.448001861572266,12.97276782989502,38.27470397949219,28.690000534057617,223.5,212.07748413085938,110.01200103759766,215.32666015625
