Date,QQQ,NVDA,AAPL,MSFT,AMZN,TSLA,GOOGL,META,GOOG,AVGO,COST
2020-01-02,208.58023071289062,5.9710774421691895,72.46825408935547,152.5056915283203,94.90049743652344,28.68400001525879,67.92080688476562,208.3247833251953,67.85954284667969,27.735551834106445,266.49749755859375
2020-01-03,206.66961669921875,5.8755035400390625,71.76372528076172,150.6067657470703,93.74849700927734,29.534000396728516,67.56549835205078,207.22247314453125,67.52653503417969,27.03009796142578,266.7169189453125
2020-01-06,208.00128173828125,5.900144100189209,72.33556365966797,150.99600219726562,95.14399719238281,30.1026668548584,69.36639404296875,211.12521362304688,69.1915512084961,26.989665985107422,266.7901916503906
2020-01-07,207.97232055664062,5.971575736999512,71.9953384399414,149.61927795410156,95.34300231933594,31.270666122436523,69.2323989868164,211.58204650878906,69.14837646484375,26.896753311157227,266.3694763183594
2020-01-08,209.53549194335938,5.982775688171387,73.15348052978516,152.0024871826172,94.59850311279297,32.80933380126953,69.72518157958984,213.72705078125,69.69329833984375,26.561227798461914,269.423095703125
2020-01-09,211.3109893798828,6.048481464385986,74.70734405517578,153.90142822265625,95.05249786376953,32.089332580566406,70.45714569091797,216.78564453125,70.46302032470703,26.34787368774414,273.7475891113281
2020-01-10,210.7706298828125,6.080836772918701,74.87622833251953,153.1893310546875,94.15799713134766,31.876667022705078,70.9122085571289,216.54733276367188,70.95433807373047,25.742218017578125,271.75445556640625
2020-01-13,213.20228576660156,6.271486759185791,76.47589874267578,155.0312957763672,94.56500244140625,34.990665435791016,71.46156311035156,220.37063598632812,71.42579650878906,25.91083335876465,274.1590576171875
2020-01-14,212.36276245117188,6.154507637023926,75.4432373046875,153.93943786621094,93.47200012207031,35.861331939697266,70.99311065673828,217.5404052734375,71.01139831542969,26.5130558013916,274.04931640625
2020-01-15,212.44961547851562,6.111947536468506,75.11993408203125,154.9363555908203,93.10099792480469,34.56666564941406,71.42036437988281,219.6158905029297,71.42430114746094,26.079456329345703,275.0276184082031
2020-01-16,214.48562622070312,6.195575714111328,76.06090545654297,157.7753143310547,93.89700317382812,34.232666015625,71.96426391601562,220.23159790039062,72.04464721679688,26.415836334228516,277.048095703125
2020-01-17,215.5470428466797,6.204286098480225,76.9029769897461,158.65834045410156,93.23600006103516,34.03333282470703,73.42125701904297,220.5990447998047,73.46846771240234,26.565532684326172,278.55657958984375
2020-01-21,215.4505615234375,6.170935153961182,76.3818130493164,158.08863830566406,94.5999984741211,36.47999954223633,73.55672454833984,219.90391540527344,73.66748809814453,26.50358772277832,286.4009094238281
2020-01-22,216.0198516845703,6.2249436378479,76.65444946289062,157.3290557861328,94.37300109863281,37.97066879272461,73.63711547851562,219.7847442626953,73.74440002441406,26.925142288208008,285.1484375
2020-01-23,216.71461486816406,6.2933878898620605,77.02361297607422,158.2975311279297,94.22899627685547,38.14666748046875,73.67780303955078,218.23553466796875,73.77914428710938,27.499828338623047,286.0536193847656
2020-01-24,214.89088439941406,6.234152317047119,76.80162048339844,156.70240783691406,93.08200073242188,37.654666900634766,72.75875854492188,216.4281768798828,72.78956604003906,27.874061584472656,283.88677978515625
2020-01-27,210.45223999023438,5.978296756744385,74.54326629638672,154.08181762695312,91.41699981689453,37.201332092285156,71.04966735839844,213.3794708251953,71.16128540039062,26.586177825927734,282.9176330566406
2020-01-28,213.68467712402344,6.171680927276611,76.65204620361328,157.1011962890625,92.6624984741211,37.793331146240234,71.98113250732422,216.2792205810547,72.08733367919922,27.38454246520996,284.1976318359375
2020-01-29,214.0321044921875,6.111201763153076,78.25656127929688,159.55084228515625,92.9000015258789,38.732666015625,72.28880310058594,221.6814727783203,72.38858032226562,27.315715789794922,283.0364685058594
2020-01-30,214.79440307617188,6.117921352386475,78.14314270019531,164.0513916015625,93.53399658203125,42.72066879272461,72.16722869873047,208.07652282714844,72.25010681152344,27.116992950439453,282.9359130859375
2020-01-31,211.38818359375,5.884464740753174,74.67838287353516,161.6302032470703,100.43599700927734,43.371334075927734,71.10176849365234,200.50938415527344,71.17765808105469,26.253236770629883,279.32452392578125
2020-02-03,214.58212280273438,5.981531620025635,74.47328186035156,165.57054138183594,100.20999908447266,52.0,73.5740966796875,202.77357482910156,73.74390411376953,26.259260177612305,276.1064758300781
2020-02-04,219.49363708496094,6.150775909423828,76.93191528320312,171.02056884765625,102.4834976196289,59.137332916259766,71.72853088378906,208.37442016601562,71.81486511230469,26.807273864746094,278.75775146484375
2020-02-05,220.2173309326172,6.241121292114258,77.55926513671875,170.81167602539062,101.99349975585938,48.97999954223633,71.76029205322266,208.65249633789062,71.87244415283203,27.304536819458008,282.4606018066406
2020-02-06,222.1182403564453,6.3279829025268555,78.46646881103516,174.353271484375,102.5114974975586,49.930667877197266,73.24507904052734,209.38735961914062,73.26201629638672,27.503267288208008,284.57684326171875
2020-02-07,221.1629638671875,6.261777877807617,77.39989471435547,174.60011291503906,103.96399688720703,49.871334075927734,73.4009017944336,210.85708618164062,73.4109115600586,27.11957359313965,287.3436584472656
2020-02-10,223.83584594726562,6.545013427734375,77.76750946044922,179.16709899902344,106.69550323486328,51.41866683959961,74.86732482910156,211.58204650878906,74.87245178222656,27.03095817565918,287.4904479980469
2020-02-11,223.8744354248047,6.6674675941467285,77.2983169555664,175.1223907470703,107.54000091552734,51.62533187866211,74.9367904663086,205.7527313232422,74.8779067993164,27.543703079223633,284.6411437988281
2020-02-12,226.05516052246094,6.783199787139893,79.13397979736328,175.3787078857422,108.0,51.15266799926758,75.3620834350586,209.2979736328125,75.34837341308594,27.934282302856445,288.70892333984375
