exg_time,trade_price,trade_qty
2024-02-01 08:14:31.580630+00:00,31850,100
2024-02-01 08:14:58.580789+00:00,31850,100
2024-02-01 08:15:22.415741+00:00,31850,100
2024-02-01 08:15:30.580600+00:00,31850,100
2024-02-01 08:15:50.503579+00:00,31850,100
2024-02-01 08:16:01.581451+00:00,31850,100
2024-02-01 08:16:03.351875+00:00,31850,200
2024-02-01 08:16:05.384074+00:00,31850,200
2024-02-01 08:16:05.384074+00:00,31850,200
2024-02-01 08:16:05.384074+00:00,31850,100
2024-02-01 08:16:06.039829+00:00,31850,100
2024-02-01 08:16:06.040013+00:00,31850,100
2024-02-01 08:16:06.040013+00:00,31850,100
2024-02-01 08:16:20.580626+00:00,31850,100
2024-02-01 08:16:24.416105+00:00,31850,100
2024-02-01 08:20:32.104357+00:00,31850,200
2024-02-01 08:20:34.003377+00:00,31850,100
2024-02-01 08:20:37.581222+00:00,31850,100
2024-02-01 08:21:03.581128+00:00,31850,100
2024-02-01 08:21:14.457197+00:00,31850,100
2024-02-01 08:21:16.416616+00:00,31850,100
2024-02-01 08:21:27.581238+00:00,31850,100
2024-02-01 08:21:51.581508+00:00,31850,100
2024-02-01 08:22:19.581528+00:00,31850,100
2024-02-01 08:22:21.418443+00:00,31850,100
2024-02-01 08:22:44.466244+00:00,31850,300
2024-02-01 08:22:44.466244+00:00,31850,300
2024-02-01 08:22:44.466244+00:00,31850,100
2024-02-01 08:22:44.466244+00:00,31850,200
2024-02-01 08:22:44.466244+00:00,31850,100
2024-02-01 08:22:46.473735+00:00,31850,100
2024-02-01 08:22:46.473735+00:00,31850,100
2024-02-01 08:22:50.581603+00:00,31850,100
2024-02-01 08:22:54.035255+00:00,31850,100
2024-02-01 08:22:54.035255+00:00,31850,100
2024-02-01 08:23:06.366536+00:00,31850,100
2024-02-01 08:23:19.583622+00:00,31850,100
2024-02-01 08:23:34.417688+00:00,31850,100
2024-02-01 08:23:40.919699+00:00,31850,100
2024-02-01 08:23:40.919699+00:00,31850,100
2024-02-01 08:23:47.581728+00:00,31850,100
2024-02-01 08:23:50.094864+00:00,31850,200
2024-02-01 08:24:10.480329+00:00,31850,100
2024-02-01 08:24:10.547768+00:00,31850,100
