exg_time,trade_price,trade_qty
2024-01-02 01:00:00.355780+00:00,12990,300
2024-01-02 01:00:00.355780+00:00,12990,400
2024-01-02 01:00:00.426761+00:00,12990,100
2024-01-02 01:00:09.889083+00:00,12990,100
2024-01-02 01:00:18.229418+00:00,12990,2000
2024-01-02 01:00:18.229418+00:00,12990,100
2024-01-02 01:00:21.042665+00:00,12980,100
2024-01-02 01:01:01.552939+00:00,12980,200
2024-01-02 01:01:01.902775+00:00,13000,5000
2024-01-02 01:01:01.902775+00:00,13000,500
2024-01-02 01:01:01.902775+00:00,13000,1500
2024-01-02 01:01:01.902775+00:00,13000,300
2024-01-02 01:01:01.902775+00:00,13000,20000
2024-01-02 01:01:01.902775+00:00,13000,1000
2024-01-02 01:01:01.902775+00:00,13000,3000
2024-01-02 01:01:01.902775+00:00,13000,12000
2024-01-02 01:01:01.902775+00:00,13000,1200
2024-01-02 01:01:01.902775+00:00,13000,200
2024-01-02 01:01:01.902775+00:00,13000,1000
2024-01-02 01:01:01.902775+00:00,13000,100
2024-01-02 01:01:01.902775+00:00,13000,3000
2024-01-02 01:01:01.902775+00:00,13000,100
2024-01-02 01:01:01.902775+00:00,13000,200
2024-01-02 01:01:01.902775+00:00,13000,7000
2024-01-02 01:01:01.902775+00:00,13000,400
2024-01-02 01:01:01.902775+00:00,13000,2100
2024-01-02 01:01:01.902775+00:00,13000,100
2024-01-02 01:01:01.902775+00:00,13000,2000
2024-01-02 01:01:01.902775+00:00,13000,400
2024-01-02 01:01:01.902775+00:00,13000,100
2024-01-02 01:01:01.904019+00:00,13010,100
2024-01-02 01:01:49.533487+00:00,13040,500
2024-01-02 01:01:49.546127+00:00,13040,5000
2024-01-02 01:01:49.546460+00:00,13040,7100
2024-01-02 01:01:49.626082+00:00,13040,100
2024-01-02 01:01:49.866068+00:00,13040,600
2024-01-02 01:01:50.006079+00:00,13040,4600
2024-01-02 01:02:14.322393+00:00,13040,200
2024-01-02 01:02:54.587811+00:00,13040,200
2024-01-02 01:03:14.079120+00:00,13040,2400
2024-01-02 01:03:14.079120+00:00,13040,200
2024-01-02 01:03:14.079120+00:00,13040,100
2024-01-02 01:03:14.079120+00:00,13040,1300
2024-01-02 01:03:34.244816+00:00,13040,400
2024-01-02 01:03:34.244816+00:00,13040,200
2024-01-02 01:03:36.484312+00:00,13050,1000
2024-01-02 01:03:42.089721+00:00,13040,1000
2024-01-02 01:03:51.671124+00:00,13050,10100
2024-01-02 01:03:51.671124+00:00,13050,100
2024-01-02 01:03:51.671124+00:00,13050,2400
2024-01-02 01:04:00.106565+00:00,13050,100
2024-01-02 01:04:12.644181+00:00,13050,1900
2024-01-02 01:04:12.644181+00:00,13050,300
2024-01-02 01:04:12.644181+00:00,13050,5000
2024-01-02 01:04:12.644181+00:00,13050,1000
2024-01-02 01:04:12.644181+00:00,13050,900
2024-01-02 01:04:28.571681+00:00,13040,500
2024-01-02 01:04:28.571681+00:00,13040,1300
2024-01-02 01:04:28.571681+00:00,13040,100
2024-01-02 01:04:28.571681+00:00,13040,100
2024-01-02 01:04:32.830684+00:00,13040,400
2024-01-02 01:04:33.295738+00:00,13050,100
2024-01-02 01:04:41.802127+00:00,13040,500
2024-01-02 01:04:41.802127+00:00,13040,1300
2024-01-02 01:04:41.802127+00:00,13040,1000
2024-01-02 01:04:41.802127+00:00,13040,200
2024-01-02 01:04:45.740418+00:00,13040,500
2024-01-02 01:05:00.083391+00:00,13050,100
2024-01-02 01:05:10.677001+00:00,13050,600
2024-01-02 01:05:10.677001+00:00,13050,1000
2024-01-02 01:05:10.677001+00:00,13050,3000
2024-01-02 01:05:10.677001+00:00,13050,1000
2024-01-02 01:05:10.677001+00:00,13050,1000
